epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,28664.8,1.20381,0.6389,1.03887,0.78635,0.73043,0.79349,0.44442,1.25191,0.63016,1.0584,0.0008647,0.0008647,0.0008647
43,29349.4,1.20147,0.63938,1.04129,0.74141,0.75003,0.79407,0.44568,1.25784,0.6211,1.05894,0.0008614,0.0008614,0.0008614
44,30029.2,1.20331,0.6376,1.03896,0.84981,0.74022,0.8273,0.4683,1.25606,0.62133,1.06183,0.0008581,0.0008581,0.0008581
45,30709.1,1.19491,0.62996,1.03474,0.86821,0.69449,0.79976,0.45911,1.24854,0.62868,1.0531,0.0008548,0.0008548,0.0008548
46,31387.1,1.20235,0.63809,1.0388,0.7817,0.73819,0.7949,0.44614,1.23606,0.61775,1.05178,0.0008515,0.0008515,0.0008515
47,32064.9,1.18361,0.62281,1.03075,0.85777,0.70968,0.7967,0.46121,1.23805,0.61553,1.05251,0.0008482,0.0008482,0.0008482
48,32742.5,1.17884,0.61742,1.03052,0.88175,0.70354,0.8203,0.47036,1.24238,0.61934,1.05179,0.0008449,0.0008449,0.0008449
49,33421.2,1.17407,0.61454,1.02912,0.83778,0.73964,0.80326,0.45351,1.24105,0.6125,1.05145,0.0008416,0.0008416,0.0008416
50,34099.1,1.16894,0.61246,1.01907,0.84531,0.74107,0.82145,0.4719,1.24517,0.61617,1.05387,0.0008383,0.0008383,0.0008383
51,34778.8,1.16186,0.60882,1.02093,0.85849,0.68904,0.80121,0.45692,1.24048,0.60615,1.05105,0.000835,0.000835,0.000835
52,35456.9,1.15659,0.60412,1.01816,0.82942,0.71752,0.80899,0.46817,1.23634,0.60355,1.05118,0.0008317,0.0008317,0.0008317
53,36134.5,1.15798,0.60283,1.0221,0.82369,0.71673,0.79805,0.45847,1.23807,0.60225,1.05186,0.0008284,0.0008284,0.0008284
