epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,86485.2,1.12357,0.48348,1.32181,0.95388,0.95272,0.98145,0.69083,1.13193,0.41976,1.43121,0.0008647,0.0008647,0.0008647
43,88535,1.1193,0.48183,1.31557,0.95278,0.95099,0.98068,0.69213,1.12861,0.42144,1.43175,0.0008614,0.0008614,0.0008614
44,90577.7,1.12019,0.48187,1.32104,0.95025,0.95462,0.98083,0.69414,1.12556,0.41812,1.42965,0.0008581,0.0008581,0.0008581
45,92628.5,1.11204,0.47693,1.30932,0.952,0.95322,0.98219,0.69572,1.12716,0.41854,1.43133,0.0008548,0.0008548,0.0008548
46,94675.4,1.11569,0.47792,1.31579,0.95442,0.95462,0.98209,0.69592,1.12752,0.4135,1.43029,0.0008515,0.0008515,0.0008515
47,96723.6,1.10934,0.47548,1.31446,0.9485,0.95667,0.98132,0.69427,1.12573,0.41562,1.42966,0.0008482,0.0008482,0.0008482
48,98771.8,1.10581,0.47118,1.30741,0.95239,0.9547,0.98171,0.69583,1.12344,0.41154,1.42925,0.0008449,0.0008449,0.0008449
49,100831,1.10001,0.47073,1.30607,0.95062,0.95533,0.98109,0.69747,1.1222,0.40989,1.42811,0.0008416,0.0008416,0.0008416
50,102868,1.09796,0.4671,1.30331,0.95487,0.95197,0.98113,0.69589,1.12337,0.41022,1.42773,0.0008383,0.0008383,0.0008383
51,104920,1.09992,0.472,1.30665,0.95287,0.95275,0.98168,0.69635,1.12432,0.41218,1.42752,0.000835,0.000835,0.000835
52,107070,1.09256,0.46483,1.30135,0.95282,0.9537,0.98182,0.69753,1.12294,0.41073,1.42692,0.0008317,0.0008317,0.0008317
53,109384,1.08461,0.46097,1.29329,0.95224,0.95465,0.98172,0.69738,1.1223,0.4078,1.42627,0.0008284,0.0008284,0.0008284
54,111432,1.08124,0.45682,1.29213,0.95192,0.95664,0.98221,0.69794,1.12181,0.40553,1.42671,0.0008251,0.0008251,0.0008251
55,113487,1.07813,0.45789,1.29207,0.95334,0.95579,0.9824,0.6983,1.12249,0.40541,1.42781,0.0008218,0.0008218,0.0008218
56,115538,1.07736,0.4535,1.29132,0.95272,0.95695,0.98213,0.69932,1.12133,0.4035,1.42692,0.0008185,0.0008185,0.0008185
57,117590,1.07143,0.45332,1.29024,0.95379,0.95576,0.98178,0.69895,1.1209,0.40375,1.4268,0.0008152,0.0008152,0.0008152
58,119636,1.07491,0.45202,1.28432,0.95404,0.95611,0.98147,0.70028,1.11955,0.40233,1.42558,0.0008119,0.0008119,0.0008119
59,121685,1.069,0.44919,1.28657,0.95195,0.95809,0.98148,0.70018,1.11941,0.40169,1.42471,0.0008086,0.0008086,0.0008086
60,123794,1.05437,0.44453,1.27264,0.95282,0.95917,0.98161,0.69987,1.12013,0.40108,1.42508,0.0008053,0.0008053,0.0008053
61,125839,1.06161,0.44794,1.27609,0.94999,0.96047,0.98105,0.70007,1.11956,0.40034,1.42518,0.000802,0.000802,0.000802
62,127885,1.04744,0.44391,1.26963,0.95107,0.95892,0.98148,0.70079,1.1183,0.39926,1.42482,0.0007987,0.0007987,0.0007987
63,129935,1.05248,0.44138,1.27541,0.9497,0.96023,0.9815,0.70124,1.11669,0.39824,1.42353,0.0007954,0.0007954,0.0007954
64,131961,1.05173,0.43985,1.27514,0.9534,0.95702,0.98152,0.70194,1.11743,0.3978,1.42471,0.0007921,0.0007921,0.0007921
65,133995,1.04257,0.43623,1.26411,0.95111,0.9594,0.98148,0.70092,1.11859,0.39747,1.42636,0.0007888,0.0007888,0.0007888
66,136013,1.04474,0.44037,1.26517,0.95378,0.95643,0.98098,0.70216,1.1188,0.39677,1.42713,0.0007855,0.0007855,0.0007855
67,138033,1.04819,0.44016,1.27076,0.95425,0.95592,0.98096,0.70294,1.11927,0.39637,1.42737,0.0007822,0.0007822,0.0007822
68,140051,1.04062,0.43643,1.26522,0.95458,0.95631,0.98108,0.70268,1.11941,0.39553,1.42774,0.0007789,0.0007789,0.0007789
69,142069,1.03733,0.43455,1.25969,0.95326,0.9575,0.98131,0.70287,1.11982,0.39505,1.42838,0.0007756,0.0007756,0.0007756
70,144088,1.03107,0.43355,1.25952,0.9563,0.955,0.98187,0.70279,1.11985,0.39474,1.42908,0.0007723,0.0007723,0.0007723
71,146104,1.02687,0.43086,1.26019,0.95625,0.95501,0.98176,0.70298,1.1192,0.39407,1.42884,0.000769,0.000769,0.000769
72,148136,1.02425,0.43244,1.25625,0.95669,0.95469,0.98169,0.70315,1.11965,0.39405,1.42973,0.0007657,0.0007657,0.0007657
73,150156,1.02161,0.42804,1.25278,0.95255,0.95797,0.98185,0.70355,1.12081,0.39406,1.43091,0.0007624,0.0007624,0.0007624
74,152174,1.02341,0.42677,1.25214,0.95115,0.95927,0.98146,0.70361,1.12156,0.39381,1.4315,0.0007591,0.0007591,0.0007591
75,154193,1.01982,0.42826,1.24809,0.95164,0.95892,0.98146,0.70376,1.12194,0.39326,1.43194,0.0007558,0.0007558,0.0007558
76,156213,1.01332,0.4251,1.24545,0.95148,0.95927,0.9817,0.70385,1.12225,0.39287,1.43242,0.0007525,0.0007525,0.0007525
77,158231,1.0085,0.42375,1.24825,0.95155,0.95824,0.9811,0.70335,1.12195,0.39235,1.4323,0.0007492,0.0007492,0.0007492
78,160245,1.00905,0.41955,1.24361,0.95183,0.95845,0.98126,0.70283,1.12195,0.39188,1.43263,0.0007459,0.0007459,0.0007459
79,162262,1.00187,0.42108,1.24131,0.9521,0.95702,0.98124,0.70345,1.12265,0.39173,1.43357,0.0007426,0.0007426,0.0007426
